,name,search_count,ID,Team,status,total_earn
192,Rafał Wójcik,66600,eL lisasH,Team Kinguin,"Active
",24114.0
193,Ren Yangwei,69500,eLeVeN,Vici Gaming,"Active
",840169.0
194,Yang Pu,1730000,END,Sun Gaming,"Active
",399100.0
195,Steven Cheng,2290000,Eosin,,"Retired
",29720.0
196,Adrian Kryeziu,74100,Era,The Final Tribe,"Active
",135666.0
197,Tobias Everhorn,26800,eresloco,,"Inactive
",2949.0
198,Eri Neeman,29000,Eri Neeman,,"Active
",
199,Eskil Wilhelm Erik Sundblad,12300,Eskillz,,"Active
",4039.0
200,Alexander Lindström,303000,Etakaka,,"Active
",258.0
201,Jacky Mao,120000,EternaLEnVy,Fnatic,"Active
",909169.0
202,Earlwin Libre,136000,Ewe,,"Active
",1770.0
203,Steve Ye,3080000,Excalibur,,"Active
",32243.0
204,Natan Michalewicz,12900,Exotic_Deer,Team Kinguin,"Active
",24114.0
205,Nico Barcelon,1510000,eyyou,TNC Pro Team,"Active
",116556.0
206,Choi Jongseob,38700,f(x),,"Inactive
",3323.0
207,Pan Yi,3310000,Fade,VGJ.Thunder,,
208,Zeng Hongda,15300,Faith,Newbee,"Active
",1690059.0
209,Zhang Ruida,59300,Faith_bian,EHOME,"Active
",1967009.0
210,Fan Yixuan,1120000,FaN,,"Active
",11970.0
211,Adrian Trinks,73900,Fata,Team Secret,"Active
",848523.0
212,Clinton Loomis,215000,Fear,,"Active
",2488048.0
213,Oleg Skarzhinsky,68100,Feaver,,"Active
",
214,Kim Yong-min,303000,Febby,Immortals,"Active
",566029.0
215,Feras Hroob,12500,Feero,WarriorsGaming.Unity,"Active
",5630.0
216,Lu Chao,1270000,Fenrir,Vici Gaming,"Active
",1282005.0
217,Luo Feichi,66600,Ferrari_430,Big God,"Active
",553224.0
218,Evgeniy Aksyonov,97000,Fervian,,"Active
",1826.0
219,Filip Musialski,60300,Fey,,"Active
",1330.0
220,Olle Sjöland Thulin,5220,Fishbone,,"Inactive
",540.0
221,Adam Grönberg,185000,Five,,"Active
",411.0
222,Dennis Brofalk,58400,Flens,Evil Corporation,"Active
",200.0
223,Alexander Sazonov,177000,Flow,Double Dimension,"Inactive
",1400.0
224,Brian Lee,43900000,FLUFFNSTUFF,,"Active
",38179.0
225,Tal Aizik,187000,Fly,Evil Geniuses,"Active
",1430589.0
226,Yao Linhui,33100,Fly.,,"Inactive
",300.0
227,Su Lei,6080000,Flyby,iG Vitality,"Active
",18095.0
228,Michael Stanus-Ghib,384000,FlyingZebra,,"Inactive
",2640.0
229,Kenneth Coloma,68100,Flysolo,Clutch Gamers,"Active
",7803.0
230,Rostislav Lozovoi,18000,fn,Team Empire,"Active
",205495.0
231,Artsiom Barshack,8510,fng,Team Spirit,"Active
",413931.0
232,Ioannis Loucas,21200,Fogged,,"Active
",19779.0
233,Lai Xingyu,63200,Fonte,Team MAX,"Inactive
",8614.0
234,Lee Sang-don,388000,Forev,Echo International,"Active
",503261.0
235,Jeffrey Fortunato,87000,Foxx,,"Inactive
",1410.0
236,Francis Lee,38400000,FrancisLee,Wheel Whreck,"Active
",10250.0
237,Liu Chang,2270000,Freeze,VGJ.Thunder,"Active
",173295.0
238,Jesper Göthe,26400,Frigoleet,,"Retired
",2813.0
239,Wilson Teng,175000,Fronz,,"Active
",1005.0
240,Pontus Frost,150000,Frost,The Final Tribe,"Active
",7860.0
241,Ryan Davis,42600000,fROZEN,,"Inactive
",100.0
242,Gleb Lipatnikov,26100,Funn1k,,"Active
",403426.0
243,Thibault Calonne,13600,Funzii,,"Inactive
",9033.0
244,Feng Zhichao,45000,Fusheng,Aurora Esports club,"Active
",351.0
245,Xu Linsen,57700,fy,PSG.LGD,"Active
",1282383.0
246,Wu Junying,105000,Fyms,Keen Gaming,"Active
",
247,Cheng Hor Siew,13000,FzFz,818 Esports,"Active
",1290.0
248,Sergey Alexandrovich Bragin,14400,G,Team Spirit,"Active
",405756.0
249,Gordan Prosic,6140,g0g1,,"Active
",6316.0
250,Kim Villafuerte,230000,Gabbi,Clutch Gamers,"Active
",31463.0
251,Fabio Fernandes Soares Sarellas,12300,Gambling,,"Active
",3176.0
252,Liu Xinzhou,64000,Garder,,"Active
",704740.0
253,Gareth Bateson,32000,Gareth,,"Active
",
254,Ylli Ramadani,17100,garter,,"Active
",8671.0
255,Vladislav Kozak,69500,Gedrox,,"Active
",1941.0
256,Victor Nigrini,169000,GeneRaL,Natus Vincere,"Active
",165564.0
257,Matthias Deutschmann,114000,german player,,"Active
",1219.0
258,Vlad Malikov,89600,GGwpLanaya,SFTe-sports,"Active
",546.0
259,Maroun Merhej,8080,GH,Team Liquid,"Active
",2584890.0
260,Zheng Jie,1360000,ghost,Eclipse,,
261,Andrey Kadyk,160000,Ghostik,Team Empire,"Active
",185060.0
262,Gabriele Giganti,37900,GiGA,,"Inactive
",676.0
263,Li Chunbo,432000,Gintoki,Rock.Y,"ActiveMars Media Banned
",41115.0
264,Jose Ramolete,261000,Gio,,"Active
",2300.0
265,Ceejay Pelagio,10500,gnoji,,"Inactive
",5428.0
266,Tobi Strand,81900,GoAudio,,"Inactive
",710.0
267,Artur Kostenko,74500,Goblak,,"Active
",66943.0
268,Dulat Seidimomyn,2260,goddam,NiceOne,"Active
",29818.0
269,Darcy Milho Jose,13200,Godot,XCN Gaming,"Active
",10123.0
270,David Parker,43600000,GoDz,,"Active
",
271,Wu Jinhan,97700,goking,Taichi Gaming,"Active
",3321.0
272,Ivan Kartankov,134000,Gorec,,"Inactive
",24183.0
273,Janne Stefanovski,12700,Gorgc,,"Active
",1953.0
274,Grant Harris,43800000,GranDGranT,Evil Geniuses,"Active
",
275,Alexis Ventura,1100000,Greedy,Gorillaz-Pride,"Active
",13448.0
276,Eric Guan,360000,guanzo,,"Inactive
",2400.0
277,William Aguilera,1150000,Gudii,,"Inactive
",1646.0
278,Hu Sen,2140000,Guvara,EHOME,"Active
",6106.0
279,Kai Hanbückers,102000,H4nn1,,"Active
",61219.0
280,Simon Haag,913000,Handsken,The Final Tribe,"Active
",184851.0
281,Tony Talavera,291000,HANNAH_MONTANA,,"Retired
",2875.0
282,Chen Zhihao,149000,Hao,,"Inactive
",1747535.0
283,Lee Seung Gon,56500,Heen,Team Liquid,"Active
",81656.0
284,Hiromu Hosoya,12700,Heromu,DeToNator,"Inactive
",
285,Mikki Mørch Junget,1640,HesteJoe-Rotten,Entity Gaming,"Active
",103966.0
286,Dominik Buhmann,28400,hex0r,,"Retired
",94.0
287,William Medeiros de Anastácio,16000,hFn,paiN Gaming,"Active
",142198.0
288,Mohammad Al-Sheikh,48600,Hook-,,"Active
",7390.0
289,Baek Ji Hoon,175000,HooNji,MVP HOT6ix,"Active
",3322.0
290,Ken Chen,2750000,Hot_Bid,,"Active
",
291,Hugo Fouques,52300,Hugo,,"Active
",652.0
292,Zheng Shuo,129000,Hy,Aurora Esports club,"Active
",6156.0
293,Per Schmidt,7510000,Hyac,,"Inactive
",140.0
294,Benedict Lim Han Yong,46500,hyhy,White Fries Gaming,"Active
",39050.0
295,Xu Zhi,849000,Hym,EHOME,"Inactive
",27085.0
296,Iwo Bejar,17800,i w o,Thunder Predator,,
297,Danny Cote,1500000,iAnnihilate,,"Active
",7835.0
298,Chua Chee Cai,17400,Ice,,,
299,Bogdan Vasylenko,48400,Iceberg,FlyToMoon,"Active
",63230.0
300,Li Peng,2250000,iceice,Sun Gaming,"Active
",1998632.0
301,Daryl Koh Pei Xiang,8970,iceiceice,Mineski,"Active
",1292134.0
302,Wang Peng,1810000,Icy,Newbee Young,"Active
",41303.0
303,Jesús Valencia,4220000,Ifrit,,"Active
",6853.0
304,Ilya Pivcaev,100000,Illidan,Team Spirit,"Active
",366205.0
305,Bruce Ervandi,63600,ilLogic,EVOS Esports,"Active
",3552.0
306,Razvan Borceanu,12100,iLLusionisT,,"Active
",2519.0
307,Igor Filatov,97800,iLTW,ESPADA,"Active
",188238.0
308,Donal Cheung,22400,ima_sheep(sux),,"Inactive
",2608.0
309,He Yongzheng,1750000,Inflame,LGD.Forever Young,"Active
",596715.0
310,Yang Xiaodong,357000,InJuly,iG Vitality,"Inactive
",217915.0
311,Sergey Kaluzhniy,132000,Inkvizitor,,"Inactive
",543.0
312,Dmitry Filinov,118000,Inmate,,"Retired
",600.0
313,Aydin Sarkohi,17900,iNSaNiA,Alliance,"Active
",2593.0
314,Marie Gunina,81500,Inverno,,"Active
",
315,Muhammad Rizky,167000,inYourdreaM,TNC Tiger,"Active
",10049.0
316,Michael Ghannam,417000,ixmike88,,"Active
",29953.0
317,Alexei Lipai,94900,j4,,"Active
",45097.0
318,Mathis Friesel,13600,Jabbz,Kingdra,"Active
",3974.0
319,Anucha Jirawong,3110,Jabz,Mineski,"Active
",221449.0
320,Maksim Doroshenok,137000,Jackal,,"Inactive
",5772.0
321,Jacko Soriano,27100,Jacko,,"InactiveValve Banned
",714.0
322,Matthew Penaroza,82000,jaH,,"Inactive
",400.0
323,Zhou Yifu,52800,James,For The Dream,"Active
",15756.0
324,Jason Teodosio,130000,Jason,,"Active
",6340.0
325,Jiang Donghao,27900,jdh,Eclipse,"Active
",11873.0
326,Andrew Jenkins,5390000,Jenkins,,"Active
",2800.0
327,Jared Perkin,44200,Jeppins,,"Inactive
",724.0
328,Jesse Vainikka,52400,JerAx,OG,"Active
",1056710.0
329,Diego Rivera,16100000,Jericho,Luccini,"Active
",4200.0
330,Jerry Isidro,162000,Jerry,Thunder Awaken,"Active
",428.0
331,Jessie Cristy Cuyco,2990,JessieVash,HappyFeet,"Active
",24791.0
332,Park Yoon-Soo,1120000,JesusSt1ck,,"Inactive
",3260.0
333,Jio Madayag,160000,Jeyo,,"Active
",76336.0
334,Jhoven Pancho,16200,Jhoven,,"Inactive
",2280.0
335,Tan Lijia,215000,JiaJia,Newbee Young,"Active
",18961.0
336,Marcus Dastrup,101000,jigglebilly,,"Inactive
",300.0
337,Xiao Zihao,42600,Jixing,Rock.Y,"ActiveMars Media Banned
",55043.0
338,Lee Siong Tait,111000,JoHnNy,EHOME.Immortal,"Active
",35962.0
339,Jonas Lindholm,117000,jonassomfan,The Final Tribe,"Active
",107780.0
340,Sullivan Carlotti,29300,Joraal,,"Active
",1055.0
341,Egor Surkov,62400,JotM,,"Active
",32396.0
342,Andrew Evelynn,136000,Jubei,Immortals,"Active
",11615.0
343,Julius De Leon,1340000,Julz,DeToNator,"Active
",38372.0
344,Lin Shiyang,130000,June,Eclipse,"Active
",81780.0
345,He Zhipeng,1740000,JUST,Newbee.M,"Active
",3100.0
346,Justin Rosselle,150000,justin,,"Active
",100.0
347,Patrick Pascua,207000,JyC,,"InactiveValve Banned
",240.0
348,Kang Taeyeong,43100,JyU,,"Inactive
",27067.0
349,Zhao Kai,1020000,Kabu,Newbee Young,"Active
",44856.0
350,Kaci Aitchison,20900,Kaci Aitchison,,"Active
",
351,Jakub Kocjan,21100,kacor,Team Kinguin,"Active
",21182.0
352,Andrey Shulgin,164000,KaHT,HunkysFromZavod,"Active
",1751.0
353,Teo Kai Sheng,18700,Kai,,"Active
",3320.0
354,Tan Yunxi,208000,kaidou,,"Active
",6015.0
355,Hu Liangzhi,115000,Kaka,Newbee,"Active
",1475075.0
356,Chua Soon Khong,24400,KaNG,,"Active
",42182.0
357,Jack Chen,3890000,KBBQ,VGJ.Storm,"Active
",
358,Rene Warner,1370000,Kebap,,"Inactive
",8631.0
359,Fadil bin Mohd Raziff,8360,Kecik Imba,,"Active
",34854.0
360,Linus Bleckert,36600,Kefka,,"Active
",8783.0
361,Grigorie Andrei,183000,KeyaNo,,"Inactive
",5400.0
362,Grigoris Kallianiotis,1880,Keyser,Five Dogs,"Active
",34174.0
363,Maurice Gutmann,32500,KheZu,Five Dogs,"Active
",164799.0
364,Kiril Minkov,13900,Kikoni,,"Active
",312.0
365,Kimuel Borromeo Rodis,1810,Kim0,Execration,"Active
",58482.0
366,Rinat Abdullin,22800,KingR,Double Dimension,"Active
",50644.0
367,Danylo Nascimento,28100,Kingrd,paiN Gaming,"Active
",143027.0
368,Abraham Canez,34300,Kingteka,CDM eSports,"Active
",52008.0
369,Muriëlle Huisman,13500,Kipspul,Vega Squadron,"Active
",
370,Emre Canlı,523000,Klasynky,Team Entelechy,"Active
",799.0
371,Paulo Nóbrega,640000,Klotz22,,"Active
",758.0
372,Farand Kowara,1650,Koala,Rex Regum Qeon,,
373,Konstantin Jančetović,44400,kole,,"Active
",984.0
374,Steven Ashworth,1200000,Korok,,"Inactive
",23138.0
375,Alonso León,2800000,Kotarō Hayama,Infamous,"Active
",59778.0
376,Dakota Cox,6220000,KotLGuy,,"Active
",
377,Damien Sau-jing Chok,5090,kpii,Newbee,"Active
",1488337.0
378,Bryan Herren,484000,Kpoptosis,,"Inactive
",
379,Sergey Kuzin,173000,KSi,,"Inactive
",7029.0
380,Carlo Palad,62600,Kuku,TNC Pro Team,"Active
",472105.0
381,Kuro Salehi Takhasomi,8330,KuroKy,Team Liquid,"Active
",3629264.0
382,Khanh Huynh,253000,KvH,is GG,"Active
",3714.0
383,Kyle Freedman,158000,Kyle,,"Active
",160417.0
384,Kyrie Eleison Ygdrasil Depra Singson,50,KyrieDepra,,"Inactive
",
385,Nitiphat Chutonganan,22,KyT,Hashtag Dota,"Active
",419.0
386,Lee Kong Yang,1800000,kYxY,TNC Tiger,"Active
",120578.0
