,player_id,status,total_earn
434,MaNia,,
435,Mantis,,
436,maomao,,
437,March,,
438,marSu,,
439,Masakary,,
440,Masoku,,
441,mason,,
442,Masquerade,,
443,Massacre,,
444,Mastermind,,
445,Matrim,,
446,Matthew,,
447,MATUMBAMAN,,
448,Maut,,
449,Maybe Next Time,,
450,mdL,,
451,MelodyLovers,,
452,Meracle,,
453,Merlini,,
454,MeTTpuM,,
455,Mevius,,
456,miCKe,,
457,MidOne,,
458,miGGel,,
459,MiHawk,,
460,Mikasa,,
461,Mikey,,
462,MiLAN,,
463,MinD_ContRoL,,
464,Minerva,,
465,Mini,,
466,Miposhka,,
467,Miracle-,,
468,Mirakel,,
469,MISERY,,
470,Misha,,
471,Mitch,,
472,MJW,,
473,MMY!,,
474,Mofi,,
475,Monet,,
476,monkeys-forever,,
477,Monolith,,
478,Moo,,
479,Moogy,,
480,mool,,
481,Moon,,
482,Moonlight,,
483,MoonMeander,,
484,MoZuN-,,
485,MP,,
486,Mrrr,,
487,MS,,
488,MSS,,
489,mstco,,
490,MtR,,
491,Mtrx4u,,
492,Mu,,
493,Mushi,,
494,Mynuts,,
495,MyPro,,
496,N0tail,,
497,Nafari,,
498,Nahaz,,
499,Naive-,,
500,Nando,,
501,NeaR,,
502,Nedbone,,
503,nemphy,,
504,NEQROMAN,,
505,Net,,
506,Newsham,,
507,Nexus,,
508,Nikobaby,,
509,Nine,,
510,ninjaboogie,,
511,Niqua,,
512,Nisha,,
513,Nix,,
514,Nj,,
515,NO_Chanc3,,
516,noble,,
517,Nofear,,
518,Noia,,
519,Nokky,,
520,nongrata,,
521,Nono,,
522,Noone,,
523,Noxville,,
524,NS,,
525,NutZ,,
526,ODPixel,,
527,Offak,,
528,Ohaiyo,,
529,old chicken,,
530,oliver,,
531,OmegaPwner,,
532,Op,,
533,Ori,,
534,Origami,,
535,Owa,,
536,PAADA,,
537,Pablo,,
538,Pajkatt,,
539,Palantimos,,
540,Pandaego,,
541,Paparazi灬,,
542,Papita,,
543,PARIS,,
544,paS,,
545,Patos,,
546,PatSoul,,
547,PGG,,
548,Piao,,
549,pieliedie,,
550,Pikachu,,
551,PimpmuckL,,
552,Pingvincek,,
553,PiNoY,,
554,PlayHard,,
555,PLZDunKilme,,
556,Poloson,,
557,ppd,,
558,PrettyHaw,,
559,Primo,,
560,profheadshot,,
561,PSM,,
562,Puer tea,,
563,Puppey,,
564,Purge,,
565,pwN,,
566,PyrionFlax,,
567,pYung,,
568,Q,,
569,qd,,
570,qianqian,,
571,QO,,
572,qojqva,,
573,QQQ,,
574,QwisTa,,
575,r1sk,,
576,r5r5,,
577,Rabbit,,
578,RAI,,
579,RAMZES666,,
580,Ran,,
581,Rapy,,
582,Raven,,
583,ReaLaxXx,,
584,Reaves,,
585,Red,,
586,Redeye,,
587,Reelo,,
588,Reesion,,
589,Reisen,,
590,Resolut1on,,
591,Retribution,,
592,Rime,,
593,Riser,,
594,Ritsu,,
595,RMC,,
596,rmN-,,
597,Roddgeee,,
598,RodjER,,
599,RogerDodger,,
600,Rong,,
601,rOtK,,
602,RR,,
603,Runec,,
604,Ryoya,,
605,ryOyr,,
606,RyuUboruZ,,
607,Ryuya,,
608,Ryze,,
609,s4,,
610,Sag,,
611,Sai,,
612,Sakata,,
613,Saksa,,
614,Sam_H,,
615,SangSang,,
616,SANKE,,
617,SanSheng,,
618,Santa,,
619,Sayaka,,
620,Scabo,,
621,Scandal,,
622,scant,,
623,Sccc,,
624,SCL,,
625,Scofield,,
626,SCripted,,
627,sD,,
628,Sealkid,,
629,Sedoy,,
630,SeleCT,,
631,Seleri,,
632,September,,
633,Setsu,,
634,Seven,,
635,SexyBamboe,,
636,Sh4dowehhh,,
637,Shachlo,,
638,shadow,,
639,shaker,,
640,Shaneomad,,
641,Sharky,,
642,shatan,,
643,Sheever,,
644,Shiibbyy,,
645,Shiki,,
646,Shining,,
647,Shredder,,
648,Sifla,,
649,Silent,,
650,SingSing,,
651,SirActionSlacks,,
652,SKANKS224,,
653,Skemberlu,,
654,skrff,,
655,Sky,,
656,SkyLark,,
657,slahser,,
658,Slander,,
659,SlashStrike,,
660,Slayer,,
661,SLiCKz,,
662,SmAsH,,
663,smulgullig,,
664,Sneyking,,
665,Snoopy,,
666,Sober,,
667,Solen,,
668,Solitude,,
669,Solo,,
670,Somnus丶M,,
671,SoNNeikO,,
672,Sooths,,
673,Sovereign,,
674,Spin,,
675,sQreen,,
676,Srf,,
677,SsaSpartan,,
678,sss,,
679,STABA,,
680,Stan King,,
681,State21,,
682,Steffstyle,,
683,StingeR,,
684,Stomanen1,,
685,Strangby,,
686,sugar baby,,
687,SumaiL,,
688,SunBhie,,
689,Sune,,
690,Sunlight,,
691,SUNSfan,,
692,Super,,
693,super,,
694,Supreme,,
695,SVG,,
696,Swiftending,,
697,Swifty,,
698,Syeonix,,
699,Sylar,,
700,syndereN,,
701,Taiga,,
702,Tavo,,
703,TC,,
704,Teehee,,
705,The_apathy,,
706,TheHeartlessKing,,
707,Therence,,
708,Thiolicor,,
709,ThuG,,
710,TidesofTime,,
711,Timado,,
712,Tims,,
713,TnK,,
714,TobiWan,,
715,Toffees,,
716,Tone,,
717,TooFuckingGood,,
718,Topson,,
719,TpoH,,
720,Tralf,,
721,TrentPax,"Active
",
722,Trixi,"Active
",85484
723,Tsunami,"Active
",
724,Tudi,"Active
",6331
725,Tulex,"Inactive
",59
726,TuTu,"Retired
",400
727,twiSta,"Inactive
",1100
728,ubah,"Inactive
",5298
729,UnderShock,"Active
",19169
730,unicornxoxo,"Inactive
",3524
731,UNiVeRsE,"Active
",3000486
732,USH,"Active
",7960
733,v0ja,"Inactive
",
734,v1lat,"Active
",
735,Vaalix,"Inactive
",9635
736,vandersar,"Active
",
737,vanN,"ActiveValve Banned
",24085
738,VANSKOR,"Active
",127141
739,velheor,"Active
",2184
740,Velo,"Active
",23508
741,Victoria,"Active
",416866
742,Vigoss,"Inactive
",4935
743,w33,"Active
",1223496
744,Wagamama,"Active
",2858
745,Waixi,"Active
",1445
746,Warlog,"Inactive
",59
747,Waytosexy,"Active
",31958
748,weddingcrash,"Inactive
",500
749,wejustzik,"Active
",7018
750,Wenn,"Active
",15651
751,Weppas,"Active
",
752,whiteBeard,"Active
",25751
753,Windx,"Active
",2010
754,WinteR,"Active
",12140
755,WwD,"Active
",40
756,wwieWambo,"Active
",978
757,XaKoH,"Active
",3454
758,XBOCT,"Active
",651637
759,XDD,"Inactive
",3724
760,Xepher,"Active
",5384
761,xFreedom,"Active
",13884
762,Xi,"Active
",296278
763,xiangzai,"InactiveValve Banned
",2744
764,Xiao2lei,"Active
",38738
765,xiao8,"Active
",1818011
766,xiaofu,"Active
",5242
767,XiaoXiao,"Active
",4030
768,XinQ,"Active
",27736
769,xLucky,"Inactive
",6828
770,xMusiCa,"Active
",12962
771,xNova,"Active
",261964
772,xRag,"Active
",8012
773,XtiNcT,"Active
",91797
774,Xtt,"Active
",6828
775,xuan,,
776,Xxs,"Active
",408163
777,XXSJ,"Active
",1714
778,xy-,"Active
",97090
779,Xyclopz,"Active
",
